,parameter,deployments,count,mean,std,min,25%,50%,75%,max
136,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222742.000000,  34.005452,   0.036473,  33.481811,  33.986225,  34.004707,  34.024954,  34.101583
137,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222742.000000,  34.010238,   0.036318,  33.600332,  33.991272,  34.009349,  34.029701,  34.109136
138,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222579.000000,  34.015210,   0.036261,  33.504726,  33.996493,  34.014197,  34.034790,  34.115827
139,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222260.000000,  34.020107,   0.036367,  33.607437,  34.001267,  34.019179,  34.039688,  34.120180
140,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222063.000000,  34.024938,   0.036597,  33.507043,  34.005902,  34.024074,  34.044670,  34.122541
141,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222302.000000,  34.029773,   0.036847,  33.616880,  34.010915,  34.029361,  34.049704,  34.128695
142,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",221475.000000,  34.034924,   0.037255,  33.621345,  34.016396,  34.034625,  34.054865,  34.136727
143,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",221756.000000,  34.039999,   0.037566,  33.623193,  34.021395,  34.039800,  34.060290,  34.143643
144,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",220615.000000,  34.045462,   0.037715,  33.625788,  34.026990,  34.045314,  34.065796,  34.151440
145,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",220512.000000,  34.050979,   0.037718,  33.629597,  34.032183,  34.050567,  34.071535,  34.158240
146,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",220412.000000,  34.056688,   0.037856,  33.629768,  34.037557,  34.056370,  34.077196,  34.164219
147,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",220043.000000,  34.062518,   0.038024,  33.640112,  34.043094,  34.061754,  34.083381,  34.174005
148,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",219669.000000,  34.068286,   0.038260,  33.346443,  34.048752,  34.067589,  34.089457,  34.176889
149,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",219673.000000,  34.074094,   0.038437,  33.647190,  34.054297,  34.073403,  34.095228,  34.187249
150,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",221981.000000,  34.079766,   0.038564,  33.650914,  34.059893,  34.078803,  34.100900,  34.187929
151,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",227614.000000,  34.085844,   0.038868,  33.654897,  34.065577,  34.084457,  34.108066,  34.197250
152,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",234013.000000,  34.091311,   0.039078,  33.658295,  34.070390,  34.089744,  34.114359,  34.208770
153,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",585189.000000,  34.108365,   0.040387,  33.661912,  34.083660,  34.106834,  34.133549,  34.211837
154,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",379269.000000,  34.093585,   0.035357,  33.555081,  34.076909,  34.094103,  34.114001,  34.179515
155,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9", 825.000000,  34.081473,   0.004586,  34.069776,  34.082824,  34.083289,  34.083850,  34.087335
156,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",   0.000000,,,,,,,
157,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",81697.000000,  11.247426,   1.150576,   8.936400,  10.514800,  10.960100,  11.597100,  16.080200
158,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",900919.000000,  10.435080,   1.155470,   8.190400,   9.566800,  10.296300,  11.126400,  15.983500
159,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",361777.000000,  10.036626,   0.970737,   8.127500,   9.248900,   9.871200,  10.705100,  14.610000
160,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",315577.000000,   9.696992,   0.902021,   7.887500,   8.962000,   9.552100,  10.287900,  13.516300
161,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",290533.000000,   9.467576,   0.857303,   7.479300,   8.776400,   9.342800,  10.006700,  13.073200
162,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",277550.000000,   9.248134,   0.814546,   7.330400,   8.631100,   9.148400,   9.720500,  12.853500
163,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",274514.000000,   9.021944,   0.760538,   7.242600,   8.475600,   8.912800,   9.411000,  12.607300
164,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",273395.000000,   8.817266,   0.700092,   7.262100,   8.303000,   8.732600,   9.160400,  11.867200
165,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",271806.000000,   8.630703,   0.639546,   7.263800,   8.144000,   8.581900,   8.974000,  11.790500
166,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",270469.000000,   8.464738,   0.582949,   7.206200,   8.026000,   8.431300,   8.796400,  11.059900
167,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",270153.000000,   8.315911,   0.539483,   7.042800,   7.922600,   8.281000,   8.643800,  10.895300
168,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",269332.000000,   8.178742,   0.516113,   6.926400,   7.809900,   8.139950,   8.506700,  10.728200
169,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",269286.000000,   8.050454,   0.505039,   6.727000,   7.697900,   8.011500,   8.383600,  10.353200
170,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",268966.000000,   7.927384,   0.501405,   6.654500,   7.572400,   7.884500,   8.272600,  10.165200
171,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",268978.000000,   7.807117,   0.497940,   6.507800,   7.446200,   7.756700,   8.152400,   9.877100
172,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",269245.000000,   7.695183,   0.494674,   6.443900,   7.330100,   7.645000,   8.042900,   9.770200
173,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",268017.000000,   7.585309,   0.490120,   6.373500,   7.217100,   7.542100,   7.923400,   9.583000
174,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",267485.000000,   7.479138,   0.484169,   6.300900,   7.111900,   7.447200,   7.811500,   9.377000
175,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",269633.000000,   7.375879,   0.477760,   6.220900,   7.017700,   7.339200,   7.696900,   9.204800
176,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",266449.000000,   7.274252,   0.472938,   6.142900,   6.930900,   7.234100,   7.579200,   9.104900
177,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",266459.000000,   7.177083,   0.466427,   6.037400,   6.841800,   7.139300,   7.472700,   9.001500
178,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",266491.000000,   7.081509,   0.461101,   5.976800,   6.746700,   7.042700,   7.371000,   8.869600
179,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",265937.000000,   6.989655,   0.452553,   5.946900,   6.654900,   6.952600,   7.271700,   8.829400
180,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",265743.000000,   6.900517,   0.444598,   5.872900,   6.570800,   6.871100,   7.178200,   8.768800
181,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",265230.000000,   6.813514,   0.435979,   5.732400,   6.484200,   6.792900,   7.088300,   8.686100
182,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",265092.000000,   6.729381,   0.425162,   5.646100,   6.404600,   6.717500,   6.997300,   8.421600
183,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",265046.000000,   6.647418,   0.413874,   5.569300,   6.330425,   6.641700,   6.912200,   8.243300
184,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",265004.000000,   6.567860,   0.401960,   5.502900,   6.254000,   6.570800,   6.827700,   8.161500
185,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",264694.000000,   6.493505,   0.391074,   5.484100,   6.184800,   6.499000,   6.747300,   8.105600
186,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",264166.000000,   6.419024,   0.379695,   5.456600,   6.118000,   6.425300,   6.665300,   8.014200
187,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",264232.000000,   6.346219,   0.369001,   5.376100,   6.055900,   6.355500,   6.588525,   7.754600
188,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",263882.000000,   6.275494,   0.359185,   5.297300,   5.993400,   6.287700,   6.513975,   7.657200
189,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",263964.000000,   6.206522,   0.350184,   5.259300,   5.934600,   6.219700,   6.438400,   7.637200
190,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",263658.000000,   6.138771,   0.341337,   5.152800,   5.876200,   6.151700,   6.365000,   7.626500
191,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",263345.000000,   6.072805,   0.332449,   5.116800,   5.822100,   6.085800,   6.296400,   7.613600
192,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",262896.000000,   6.006667,   0.321782,   5.091800,   5.768200,   6.016300,   6.224800,   7.493200
193,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",263219.000000,   5.942854,   0.311833,   5.033200,   5.712900,   5.951900,   6.157500,   7.291500
194,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",262428.000000,   5.878884,   0.303257,   5.000100,   5.657400,   5.883700,   6.091700,   7.193700
195,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",262510.000000,   5.815792,   0.293880,   4.961700,   5.602600,   5.820900,   6.024400,   7.073400
196,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",261563.000000,   5.752440,   0.286998,   4.891600,   5.543800,   5.758600,   5.958100,   6.894200
197,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",261369.000000,   5.692229,   0.281245,   4.839300,   5.489100,   5.699200,   5.893000,   6.798700
198,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",261013.000000,   5.632141,   0.275210,   4.772400,   5.438100,   5.634800,   5.829600,   6.686600
199,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",260634.000000,   5.573834,   0.269375,   4.731800,   5.388300,   5.576000,   5.766200,   6.546100
200,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",260293.000000,   5.517262,   0.263931,   4.684700,   5.338800,   5.518700,   5.705300,   6.495600
201,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",260584.000000,   5.462411,   0.260124,   4.637900,   5.287300,   5.465700,   5.648100,   6.476900
202,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",262698.000000,   5.409248,   0.258689,   4.601400,   5.237800,   5.411800,   5.592000,   6.337200
203,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",267548.000000,   5.357226,   0.260274,   4.580800,   5.187800,   5.358400,   5.542900,   6.256100
204,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",273983.000000,   5.308066,   0.259253,   4.514900,   5.142000,   5.309900,   5.489800,   6.104800
205,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",698393.000000,   5.281876,   0.253726,   4.527200,   5.103300,   5.272100,   5.461900,   6.054600
206,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",454512.000000,   5.213080,   0.237503,   4.521500,   5.058100,   5.221600,   5.382400,   5.966300
207,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9", 825.000000,   5.557877,   0.036307,   5.513900,   5.539700,   5.544700,   5.546100,   5.644900
208,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",   0.000000,,,,,,,
209,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",75923.000000,   3.654030,   0.097926,   3.434540,   3.588620,   3.626220,   3.694095,   4.066160
210,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",859063.000000,   3.598699,   0.091845,   3.336680,   3.528920,   3.587700,   3.651580,   4.057280
211,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",343502.000000,   3.576953,   0.076984,   3.339530,   3.515620,   3.563895,   3.626750,   3.931390
212,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",297728.000000,   3.565587,   0.069441,   3.360560,   3.511680,   3.554660,   3.605780,   3.899110
213,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",274389.000000,   3.563777,   0.066128,   3.368910,   3.516440,   3.556920,   3.599700,   3.866510
214,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",263040.000000,   3.563118,   0.064082,   3.362230,   3.520660,   3.560000,   3.599130,   3.838320
215,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",260216.000000,   3.560057,   0.061410,   3.364190,   3.518728,   3.560370,   3.597880,   3.798660
216,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",259209.000000,   3.555621,   0.058468,   3.331790,   3.514420,   3.558110,   3.594110,   3.745660
217,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",257622.000000,   3.549676,   0.054762,   3.371320,   3.510310,   3.553100,   3.587178,   3.727770
218,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",256427.000000,   3.542956,   0.049831,   3.374040,   3.505950,   3.544970,   3.578115,   3.719840
219,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",256179.000000,   3.535794,   0.045152,   3.378510,   3.501010,   3.536840,   3.568540,   3.710070
220,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",255302.000000,   3.528489,   0.042204,   3.401960,   3.496240,   3.528170,   3.559400,   3.687050
221,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",255271.000000,   3.521052,   0.040579,   3.411280,   3.490890,   3.519860,   3.551260,   3.670580
222,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",254974.000000,   3.513248,   0.040047,   3.407840,   3.484000,   3.511110,   3.542780,   3.657990
223,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",254943.000000,   3.505242,   0.039796,   3.404380,   3.475590,   3.502130,   3.535200,   3.640660
224,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",255147.000000,   3.497550,   0.039700,   3.401220,   3.467360,   3.494130,   3.527450,   3.636260
225,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",253961.000000,   3.489752,   0.039644,   3.397440,   3.459500,   3.486820,   3.519430,   3.619960
226,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",253401.000000,   3.482061,   0.039536,   3.385950,   3.452060,   3.479960,   3.511560,   3.606150
227,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",255919.000000,   3.474323,   0.039353,   3.374780,   3.445140,   3.471550,   3.502850,   3.604470
228,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",252253.000000,   3.466676,   0.039255,   3.369380,   3.437980,   3.463590,   3.494310,   3.596600
229,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",252332.000000,   3.459172,   0.038971,   3.360630,   3.431100,   3.456555,   3.485660,   3.589780
230,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",252373.000000,   3.451717,   0.038722,   3.355290,   3.423640,   3.449130,   3.477580,   3.582570
231,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",252156.000000,   3.444558,   0.038189,   3.349940,   3.416540,   3.442190,   3.469280,   3.570860
232,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",251557.000000,   3.437563,   0.037747,   3.338630,   3.409580,   3.435610,   3.462090,   3.563650
233,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",251094.000000,   3.430743,   0.037173,   3.325960,   3.402800,   3.429210,   3.454950,   3.554570
234,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",250953.000000,   3.424070,   0.036330,   3.317870,   3.396710,   3.423140,   3.447920,   3.553710
235,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",250920.000000,   3.417588,   0.035406,   3.311580,   3.390760,   3.417520,   3.441140,   3.546940
236,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",250824.000000,   3.411333,   0.034390,   3.306610,   3.384930,   3.412010,   3.434430,   3.535350
237,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",250502.000000,   3.405537,   0.033377,   3.305860,   3.379560,   3.406590,   3.427700,   3.522990
238,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",249979.000000,   3.399734,   0.032440,   3.310180,   3.374540,   3.400890,   3.421020,   3.509790
239,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",250017.000000,   3.394083,   0.031504,   3.310680,   3.370020,   3.395230,   3.414970,   3.506920
240,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",249692.000000,   3.388598,   0.030634,   3.301500,   3.365720,   3.389930,   3.409060,   3.503860
241,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",249764.000000,   3.383266,   0.029816,   3.301160,   3.361360,   3.384550,   3.403250,   3.502740
242,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",249439.000000,   3.378035,   0.028997,   3.292600,   3.356900,   3.379270,   3.397510,   3.503320
243,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",249108.000000,   3.372956,   0.028151,   3.285390,   3.352770,   3.373890,   3.392080,   3.502580
244,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",248705.000000,   3.367820,   0.027158,   3.289250,   3.348510,   3.368660,   3.386580,   3.493390
245,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",249022.000000,   3.362923,   0.026251,   3.287030,   3.344370,   3.363500,   3.380990,   3.476060
246,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",248286.000000,   3.358053,   0.025477,   3.282320,   3.340200,   3.358220,   3.375920,   3.469320
247,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",248352.000000,   3.353284,   0.024625,   3.280420,   3.336060,   3.353340,   3.370550,   3.459050
248,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",247459.000000,   3.348549,   0.024005,   3.274800,   3.331780,   3.348690,   3.365600,   3.444530
249,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",247265.000000,   3.344094,   0.023433,   3.270980,   3.327880,   3.344360,   3.360510,   3.436600
250,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",247095.000000,   3.339627,   0.022897,   3.269850,   3.324050,   3.339700,   3.355620,   3.422670
251,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",246627.000000,   3.335398,   0.022341,   3.266060,   3.320540,   3.335390,   3.351130,   3.415340
252,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",246292.000000,   3.331337,   0.021837,   3.262750,   3.317140,   3.331260,   3.346620,   3.411350
253,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",246639.000000,   3.327449,   0.021471,   3.259780,   3.313580,   3.327510,   3.342380,   3.409990
254,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",248884.000000,   3.323593,   0.021234,   3.257340,   3.309800,   3.323630,   3.338180,   3.398460
255,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",252958.000000,   3.320063,   0.021345,   3.256280,   3.306580,   3.320040,   3.334770,   3.391740
256,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",258775.000000,   3.316794,   0.021087,   3.252970,   3.303570,   3.316860,   3.331210,   3.380020
257,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",652870.000000,   3.316479,   0.020621,   3.254250,   3.302370,   3.315330,   3.330770,   3.378130
258,ctdpf_ckl_seawater_conductivity,"1, 2, 3, 4, 5, 6, 7, 8, 9",436517.000000,   3.308538,   0.019110,   3.249570,   3.296400,   3.309080,   3.322010,   3.369630
